FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
31,39,Notting Hill Gate,525285,180456,"District, Central, Circle",London Underground,1,-0.194491212,51.5086469
32,40,Lancaster Gate,526711,180773,Central,London Underground,1,-0.173843886,51.51117805
33,41,Marble Arch,527960,181017,Central,London Underground,1,-0.155755638,51.51309055
34,42,Bond Street,528491,181118,"Central, Jubilee",London Underground,1,-0.148076884,51.51387033
35,47,Bank,532710,181120,"Waterloo & City, Northern, Central",London Underground,1,-0.08729695,51.51291511
36,48,Oxford Circus,529047,181236,"Central, Bakerloo, Victoria",London Underground,1,-0.140025246,51.51481046
37,49,Holborn,530512,181525,"Central, Piccadilly",London Underground,1,-0.1188087,51.51706879
38,50,Chancery Lane,531124,181615,Central,London Underground,1,-0.109960547,51.5177395
39,51,St. Paul's,532108,181274,Central,London Underground,1,-0.095907533,51.51444286
40,67,Paddington,526659,181314,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,-0.174388339,51.51605291
41,77,Embankment,530419,180396,"District, Bakerloo, Northern, Circle",London Underground,1,-0.120562428,51.50694137
42,195,Westminster,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311
43,197,Euston,529498,182668,"Northern, Victoria",London Underground,1,-0.132992071,51.52757668
44,198,Waterloo,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418
45,206,Green Park,529007,180295,"Piccadilly, Victoria, Jubilee",London Underground,1,-0.140937126,51.50635747
46,224,Paddington (H&C Line),526459,181527,Hammersmith & City,London Underground,1,-0.17719615,51.51800497
47,228,Piccadilly Circus,529613,180666,"Bakerloo, Piccadilly",London Underground,1,-0.132081484,51.50955061
48,229,Charing Cross,530058,180378,"Bakerloo, Northern",London Underground,1,-0.125777173,51.50686754
49,231,Lambeth North,531134,179456,Bakerloo,London Underground,1,-0.110624882,51.49833058
50,233,Edgware Road (Bakerloo),527047,181759,Bakerloo,London Underground,1,-0.168645951,51.51996099
51,236,Marylebone,527459,181957,Bakerloo,London Underground,1,-0.162637346,51.52165079
52,237,Regent's Park,528699,182113,Bakerloo,London Underground,1,-0.144708117,51.52277011
53,238,Sloane Square,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524
54,239,St. James's Park,529647,179498,"District, Circle",London Underground,1,-0.132021543,51.49905006
55,308,Goodge Street,529537,181837,Northern,London Underground,1,-0.132736642,51.52009307
56,309,Tottenham Court Road,529815,181382,"Central, Northern",London Underground,1,-0.128897348,51.51594793
57,329,Borough,532440,179751,Northern,London Underground,1,-0.091702818,51.50067969
58,330,Old Street,532764,182419,Northern,London Underground,1,-0.086025441,51.52457628
59,331,Angel,531561,183100,Northern,London Underground,1,-0.103116359,51.5309796
60,339,Shoreditch High Street,533555,182248,n/a,London Overground,1,-0.074700292,51.52285471
61,249,Aldgate East,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653
62,288,Southwark,531592,180074,Jubilee,London Underground,1,-0.103788452,51.50377646
63,289,London Bridge,532683,180189,"Northern, Jubilee",London Underground,1,-0.088037808,51.50455372
64,144,Liverpool Street,533202,181646,n/a,London Overground,1,-0.080013644,51.51752768
65,395,Liverpool Street,533094,181567,n/a,TfL Rail,1,-0.081601363,51.5168424
66,470,TOWER GATEWAY - DLR,533706,180834,n/a,DLR,1,-0.073061976,51.51011047
67,473,BANK - DLR,532709,181114,n/a,DLR,1,-0.087316571,51.51286207
68,377,Euston,529608,182690,n/a,London Overground,1,-0.131403702,51.52774704
69,102,East Putney,524382,174870,District,London Underground,2,-0.209468663,51.45863492
70,103,Putney Bridge,524519,175887,District,London Underground,2,-0.207131382,51.46774182
71,104,Parsons Green,524985,176647,District,London Underground,2,-0.200166803,51.47447238
72,105,White City,523308,180748,Central,London Underground,2,-0.222866489,51.51170695
73,106,Shepherd's Bush,523720,179884,Central,London Underground,2,-0.217238899,51.50384346
74,107,Holland Park,524626,180217,Central,London Underground,2,-0.204062863,51.50664438
75,111,Brixton,531052,175429,Victoria,London Underground,2,-0.113288835,51.46215131
76,113,Vauxhall,530337,177973,Victoria,London Underground,2,-0.122646146,51.48518446
77,115,Highbury & Islington,531583,184874,Victoria,London Underground,2,-0.102125867,51.54691824
78,19,Caledonian Road,530558,184970,Piccadilly,London Underground,2,-0.116864262,51.54801774
79,20,Holloway Road,530907,185450,Piccadilly,London Underground,2,-0.111653531,51.55225038
80,21,Arsenal,531305,186112,Piccadilly,London Underground,2,-0.105674399,51.55811105
81,26,Manor House,532048,187482,Piccadilly,London Underground,2,-0.094452148,51.57024769
82,31,Shepherd's Bush Market,523197,180064,"Hammersmith & City, Circle",London Underground,2,-0.224700725,51.50558155
83,32,Goldhawk Road,523184,179608,"Hammersmith & City, Circle",London Underground,2,-0.225049873,51.50148234
84,33,Latimer Road,523763,180898,"Hammersmith & City, Circle",London Underground,2,-0.216257476,51.51295039
85,34,Ladbroke Grove,524235,181339,"Hammersmith & City, Circle",London Underground,2,-0.209304449,51.51681261
86,35,Royal Oak,525834,181571,"Hammersmith & City, Circle",London Underground,2,-0.186186162,51.51854003
87,36,Westbourne Park,524901,181756,"Hammersmith & City, Circle",London Underground,2,-0.199554267,51.52041239
88,38,Queen's Park,524547,183200,Bakerloo,London Underground,2,-0.204142926,51.53347212
89,52,Mile End,536501,182534,"District, Hammersmith & City, Central",London Underground,2,-0.032150165,51.52472507
90,53,Bethnal Green,535044,182718,Central,London Underground,2,-0.053074702,51.52672839
91,191,Rotherhithe,535299,179811,n/a,London Overground,2,-0.050510094,51.50053752
92,196,Kensington (Olympia),524342,179162,District,London Underground,2,-0.208533266,51.49722528
93,207,Finsbury Park,531330,186775,"Piccadilly, Victoria",London Underground,2,-0.105068129,51.56406609
94,208,Stockwell,530460,176433,"Northern, Victoria",London Underground,2,-0.121436641,51.47131386
95,211,Hammersmith (H&C Line),523325,178698,Hammersmith & City,London Underground,2,-0.223334507,51.49327356
96,220,Kensal Green,523257,182790,Bakerloo,London Underground,2,-0.222882378,51.5300656
97,230,Elephant & Castle,531909,179142,"Northern, Bakerloo",London Underground,2,-0.099577259,51.4953253
98,232,Warwick Avenue,526112,182039,Bakerloo,London Underground,2,-0.182005998,51.52269118
99,234,Maida Vale,525940,182762,Bakerloo,London Underground,2,-0.184228557,51.52922219
100,235,Kilburn Park,525358,183328,Bakerloo,London Underground,2,-0.192420271,51.53444139
101,240,Ravenscourt Park,522571,178722,District,London Underground,2,-0.234181724,51.49365752
102,241,Hammersmith (Dist&Picc Line),523461,178503,"District, Piccadilly",London Underground,2,-0.22144689,51.49148885
103,295,Kilburn,524583,184645,Jubilee,London Underground,2,-0.203115567,51.54644842
104,297,West Hampstead,525592,184653,Jubilee,London Underground,2,-0.188568627,51.54629707
105,298,Swiss Cottage,526664,184335,Jubilee,London Underground,2,-0.173237239,51.54319998
106,299,Finchley Road,526220,184716,"Metropolitan, Jubilee",London Underground,2,-0.179489511,51.54672589
107,301,Archway,529364,186721,Northern,London Underground,2,-0.13344404,51.56403452
108,305,Clapham South,528834,174323,Northern,London Underground,2,-0.145610374,51.45272059
109,306,Clapham Common,529505,175338,Northern,London Underground,2,-0.135588991,51.46169503
110,307,Clapham North,530039,175743,Northern,London Underground,2,-0.127754372,51.4652144
111,310,Belsize Park,527354,185089,Northern,London Underground,2,-0.163016956,51.54982085
112,311,Hampstead,526373,185761,Northern,London Underground,2,-0.17692039,51.55608598
113,312,Mornington Crescent,529192,183397,Northern,London Underground,2,-0.137143461,51.53419787
114,313,Chalk Farm,528202,184391,Northern,London Underground,2,-0.151037017,51.54335257
115,314,Camden Town,528910,183894,Northern,London Underground,2,-0.141016888,51.53872412
116,315,Kentish Town,529009,185127,Northern,London Underground,2,-0.13914119,51.54978865
117,316,Tufnell Park,529149,185860,Northern,London Underground,2,-0.136858377,51.5563398
118,317,Oval,531170,177565,Northern,London Underground,2,-0.110799082,51.48132384
119,318,Kennington,531599,178300,Northern,London Underground,2,-0.104357247,51.48782707
120,319,East Acton,521721,181198,Central,London Underground,2,-0.245569272,51.51609001
121,334,Wood Lane,523374,180519,"Hammersmith & City, Circle",London Underground,2,-0.221994162,51.50963208
122,336,Canada Water,535475,179472,n/a,London Overground,2,-0.048105945,51.49744864
123,337,Shadwell,534932,180932,n/a,London Overground,2,-0.055365921,51.51070004
124,338,Whitechapel,534698,181851,n/a,London Overground,2,-0.05838503,51.51901529
125,340,Hoxton,533576,183148,n/a,London Overground,2,-0.074056385,51.53093841
126,341,Haggerston,533560,183992,n/a,London Overground,2,-0.073966769,51.53852752
127,342,Dalston Junction,533578,184692,n/a,London Overground,2,-0.07344152,51.5448144
128,343,New Cross,536751,177109,n/a,London Overground,2,-0.030648703,51.47590464
129,344,Brockley,536431,175789,n/a,London Overground,2,-0.035763775,51.46411871
130,242,West Kensington,524685,178398,District,London Underground,2,-0.203860054,51.49027946
131,243,Barons Court,524046,178328,"District, Piccadilly",London Underground,2,-0.213088174,51.48978737
132,244,Fulham Broadway,525455,177302,District,London Underground,2,-0.193168686,51.48025536
133,245,West Brompton,525381,178024,District,London Underground,2,-0.193973832,51.48676791
134,246,Stamford Brook,521859,178789,District,London Underground,2,-0.244408726,51.49440814
135,248,Stepney Green,535621,182136,"District, Hammersmith & City",London Underground,2,-0.044974603,51.52135166
136,250,Whitechapel,534645,181850,"District, Hammersmith & City",London Underground,2,-0.059154123,51.51902202
137,251,Bow Road,537090,182736,"District, Hammersmith & City",London Underground,2,-0.02358427,51.52639287
138,287,St. John's Wood,526735,183391,Jubilee,London Underground,2,-0.172545248,51.53469852
139,290,Canada Water,535457,179467,Jubilee,London Underground,2,-0.048372238,51.49740822
140,291,Bermondsey,534460,179416,Jubilee,London Underground,2,-0.062745893,51.49718984
141,292,Canary Wharf,537677,180140,Jubilee,London Underground,2,-0.016134819,51.50291749
142,130,Bethnal Green,534721,182351,n/a,London Overground,2,-0.057862441,51.52350343
143,133,Cambridge Heath,534856,183270,n/a,London Overground,2,-0.055565622,51.53173049
144,136,Clapham High Street,529804,175717,n/a,London Overground,2,-0.131145084,51.46503062
145,138,Denmark Hill,532792,176078,n/a,London Overground,2,-0.088015106,51.46758176
146,142,Hackney Downs,534551,185122,n/a,London Overground,2,-0.059252378,51.54844772
147,145,London Fields,534775,184246,n/a,London Overground,2,-0.056359095,51.54052142
148,146,Peckham Rye,534222,176360,n/a,London Overground,2,-0.067330906,51.46977879
149,147,Queens Road Peckham,535011,176751,n/a,London Overground,2,-0.055827609,51.47310519
150,148,Rectory Road,534011,186171,n/a,London Overground,2,-0.066636749,51.55800392
151,157,Wandsworth Road,529390,176196,n/a,London Overground,2,-0.136926893,51.46943062
152,161,Stoke Newington,533723,186850,n/a,London Overground,2,-0.070536111,51.56417453
153,164,Brondesbury,524760,184467,n/a,London Overground,2,-0.200631035,51.5448108
154,165,Brondesbury Park,524227,183953,n/a,London Overground,2,-0.208495753,51.54030862
155,166,Caledonian Road & Barnsbury,530765,184374,n/a,London Overground,2,-0.114106929,51.54261531
156,167,Camden Road,529171,184178,n/a,London Overground,2,-0.137154414,51.54122083
157,168,Canonbury,532384,185035,n/a,London Overground,2,-0.090522836,51.54817851
158,171,Dalston Kingsland,533528,185027,n/a,London Overground,2,-0.074035153,51.54783695
159,172,Finchley Road & Frognal,526063,185057,n/a,London Overground,2,-0.181637018,51.54982406
160,173,Gospel Oak,528277,185673,n/a,London Overground,2,-0.149494861,51.55486145
161,174,Hackney Central,534837,184916,n/a,London Overground,2,-0.055208719,51.54652805
162,175,Hackney Wick,537166,184589,n/a,London Overground,2,-0.021765777,51.54302792
163,176,Hampstead Heath,527265,185636,n/a,London Overground,2,-0.164099101,51.55475816
164,181,Homerton,535848,184939,n/a,London Overground,2,-0.040627028,51.54649227
165,182,Kensal Green,523241,182784,n/a,London Overground,2,-0.223116997,51.53001765
166,183,Kensal Rise,523578,183250,n/a,London Overground,2,-0.218097094,51.53413249
167,184,Kentish Town West,528597,184691,n/a,London Overground,2,-0.145240267,51.54596266
168,187,Kilburn High Road,525475,183594,n/a,London Overground,2,-0.190635722,51.53680577
169,189,New Cross Gate,536195,176937,n/a,London Overground,2,-0.038716887,51.47449297
170,448,ALL SAINTS - DLR,537979,180993,n/a,DLR,2,-0.011456278,51.51051157
171,449,BLACKWALL - DLR,538398,180664,n/a,DLR,2,-0.005550544,51.50745237
172,450,BOW CHURCH - DLR,537393,182829,n/a,DLR,2,-0.01918061,51.52715522
173,451,CANARY WHARF - DLR,537450,180322,n/a,DLR,2,-0.019337121,51.50461022
174,453,CROSSHARBOUR - DLR,537927,179309,n/a,DLR,2,-0.012863868,51.49538997
175,454,CUTTY SARK - DLR,538206,177733,n/a,DLR,2,-0.009463903,51.48115778
176,455,DEPTFORD BRIDGE - DLR,537438,176892,n/a,DLR,2,-0.020845808,51.47378671
177,456,DEVONS ROAD - DLR,537639,182257,n/a,DLR,2,-0.015859691,51.52195436
178,458,ELVERSON ROAD - DLR,537877,176280,n/a,DLR,2,-0.014766759,51.46817948
179,460,HERON QUAYS - DLR,537421,180122,n/a,DLR,2,-0.019832666,51.50281981
180,461,ISLAND GARDENS - DLR,538227,178444,n/a,DLR,2,-0.008883221,51.48754261
181,462,LANGDON PARK - DLR,537894,181442,n/a,DLR,2,-0.012505001,51.51456754
182,463,LEWISHAM - DLR,538046,175946,n/a,DLR,2,-0.012465383,51.46513641
183,464,LIMEHOUSE - DLR,536127,181086,n/a,DLR,2,-0.038095069,51.51179704
184,465,MUDCHUTE - DLR,537904,178750,n/a,DLR,2,-0.013413578,51.49037168
185,466,POPLAR - DLR,537701,180617,n/a,DLR,2,-0.015607274,51.50720026
186,468,SHADWELL - DLR,534947,180986,n/a,DLR,2,-0.05512963,51.51118155
187,469,SOUTH QUAY - DLR,537597,179824,n/a,DLR,2,-0.017414424,51.50009877
188,471,WEST INDIA QUAY - DLR,537495,180586,n/a,DLR,2,-0.018586106,51.50697183
189,472,WESTFERRY - DLR,537023,180798,n/a,DLR,2,-0.025301528,51.50899182
190,351,South Hampstead,526369,184096,n/a,London Overground,2,-0.177570816,51.54111829
191,355,Surrey Quays,535631,178962,n/a,London Overground,2,-0.046055836,51.49282777
192,356,Upper Holloway,529776,186621,n/a,London Overground,2,-0.127532858,51.56303879
193,359,Wapping,535023,180174,n/a,London Overground,2,-0.054345515,51.50386599
194,362,West Hampstead,525579,184651,n/a,London Overground,2,-0.188759559,51.54628297
195,371,Shepherds Bush,523720,179920,n/a,London Overground,2,-0.217219888,51.50417089
196,372,Kensington Olympia,524351,179167,n/a,London Overground,2,-0.208397635,51.49726439
197,373,Westompton,525397,178008,n/a,London Overground,2,-0.193747112,51.48661615
198,374,Clapham Junction,527211,175416,n/a,London Overground,2,-0.16856542,51.4629141
199,375,Imperial Wharf,526291,176691,n/a,London Overground,2,-0.181347614,51.47457995
200,376,Queens Park,524619,183223,n/a,London Overground,2,-0.203104045,51.53366092
201,378,Highbury & Islington,531589,184732,n/a,London Overground,2,-0.10209637,51.54564126
202,99,Chiswick Park,520293,178724,District,London Underground,3,-0.266981606,51.49415785
203,100,Wimbledon Park,525282,172100,District,London Underground,3,-0.19749098,51.43353749
204,101,Southfields,524726,173313,District,London Underground,3,-0.205058529,51.4445635
205,116,Seven Sisters,533643,188931,Victoria,London Underground,3,-0.070894139,51.58289546
206,117,Blackhorse Road,535761,189370,Victoria,London Underground,3,-0.040174342,51.58633801
207,118,Tottenham Hale,534484,189471,Victoria,London Underground,3,-0.058547162,51.58754655
208,1,Brent Cross,523874,187934,Northern,London Underground,3,-0.212185251,51.57616797
209,6,Golders Green,525255,187480,Northern,London Underground,3,-0.192420671,51.57178437
210,10,South Ealing,517575,179354,Piccadilly,London Underground,3,-0.305919519,51.50039136
211,11,North Ealing,518828,181228,Piccadilly,London Underground,3,-0.287236576,51.51697561
212,12,Park Royal,519142,182236,Piccadilly,London Underground,3,-0.282378071,51.52597425
213,45,Hanger Lane,518527,182634,Central,London Underground,3,-0.291095909,51.52968038
214,46,North Acton,520828,181957,Central,London Underground,3,-0.258167978,51.52310534
215,54,Leyton,538367,186076,Central,London Underground,3,-0.00386474,51.55609689
216,68,Bromley-by-Bow,538050,182524,"District, Hammersmith & City",London Underground,3,-0.009841042,51.52424987
217,69,Plaistow,540003,183297,"District, Hammersmith & City",London Underground,3,0.018612643,51.53072137
218,70,Upton Park,541254,183793,"District, Hammersmith & City",London Underground,3,0.036836325,51.53487026
219,192,Turnpike Lane,531513,189638,Piccadilly,London Underground,3,-0.101359413,51.58975112
220,193,Wood Green,531015,190428,Piccadilly,London Underground,3,-0.108246806,51.5969712
221,194,Bounds Green,529984,191469,Piccadilly,London Underground,3,-0.122731021,51.60656487
222,201,West Ham,539131,182945,"District, Hammersmith & City, Jubilee",London Underground,3,0.00590508,51.52776913
223,202,Walthamstow Central,537176,188994,Victoria,London Underground,3,-0.019895332,51.58261626
224,203,Ealing Broadway,517989,180933,"District, Central",London Underground,3,-0.299418497,51.51449777
225,204,Acton Town,519478,179592,"District, Piccadilly",London Underground,3,-0.278432824,51.50213702
226,205,Ealing Common,518896,180346,"District, Piccadilly",London Underground,3,-0.286555479,51.50903565
227,209,South Wimbledon,525736,169989,Northern,London Underground,3,-0.191711278,51.41446924
228,218,Northfields,517197,179206,Piccadilly,London Underground,3,-0.311409865,51.49914634
229,221,Harlesden,520875,183414,Bakerloo,London Underground,3,-0.256997378,51.53619355
230,226,Kew Gardens,519196,176732,District,London Underground,3,-0.283453589,51.47648632
231,227,Gunnersbury,519845,178388,District,London Underground,3,-0.273547129,51.49123204
232,293,North Greenwich,539216,179859,Jubilee,London Underground,3,0.005908784,51.50002099
233,294,Canning Town,539428,181377,Jubilee,London Underground,3,0.009568884,51.51360991
234,296,Willesden Green,523329,184883,Jubilee,London Underground,3,-0.221119357,51.54886838
235,300,Colliers Wood,526788,170368,Northern,London Underground,3,-0.176460893,51.41763979
236,302,Tooting Broadway,527434,171443,Northern,London Underground,3,-0.166791248,51.42715702
237,303,Tooting Bec,528047,172374,Northern,London Underground,3,-0.15763366,51.4353811
238,304,Balham,528480,173244,Northern,London Underground,3,-0.151090206,51.44310998
239,332,Hendon Central,522986,188636,Northern,London Underground,3,-0.224748399,51.58267136
240,333,Wimbledon,524800,170684,District,London Underground,3,-0.204921053,51.42091587
241,345,Honor Oak Park,535896,174137,n/a,London Overground,3,-0.044096334,51.44940041
242,346,Forest Hill,535400,172936,n/a,London Overground,3,-0.051690278,51.43872534
243,347,Sydenham,535369,171585,n/a,London Overground,3,-0.052652564,51.42659082
244,247,Turnham Green,521266,178779,"District, Piccadilly",London Underground,3,-0.252958803,51.494448
245,253,Neasden,521342,185398,Jubilee,London Underground,3,-0.24957656,51.5539234
246,254,Dollis Hill,522190,185144,Jubilee,London Underground,3,-0.237445148,51.55145847
247,260,Stonebridge Park,519616,184218,Bakerloo,London Underground,3,-0.27487576,51.54368887
248,261,Willesden Junction,521858,182960,Bakerloo,London Underground,3,-0.242978972,51.5318981
249,262,East Finchley,527222,189184,Northern,London Underground,3,-0.163438627,51.58665344
250,263,Highgate,528535,188181,Northern,London Underground,3,-0.144860652,51.577342
251,269,West Acton,519373,181296,Central,London Underground,3,-0.279364414,51.51747345
252,270,Stratford,538530,184395,"Central, Jubilee",London Underground,3,-0.002182514,51.54094802
253,131,Bruce Grove,533800,190100,n/a,London Overground,3,-0.068182034,51.59336509
254,150,Seven Sisters,533458,189004,n/a,London Overground,3,-0.073533739,51.58359611
255,155,Walthamstow St James Street,536388,188733,n/a,London Overground,3,-0.031370968,51.58045909
256,158,White Hart Lane,533693,191333,n/a,London Overground,3,-0.069256013,51.60447174
257,160,Stamford Hill,533392,187955,n/a,London Overground,3,-0.074878256,51.57418005
258,162,Acton Central,520632,180296,n/a,London Overground,3,-0.261566477,51.50821824
259,163,Blackhorse Road,535796,189387,n/a,London Overground,3,-0.039657577,51.58647957
260,170,Crouch Hill,530590,187513,n/a,London Overground,3,-0.115463356,51.57086778
261,177,Harlesden,520952,183367,n/a,London Overground,3,-0.255902699,51.53575292
262,178,Harringay Green Lanes,531874,188183,n/a,London Overground,3,-0.096693484,51.57659043
263,186,Kew Gardens,519195,176741,n/a,London Overground,3,-0.283465911,51.47656919
264,188,Leyton Midland Road,538191,187523,n/a,London Overground,3,-0.00583941,51.56914561
265,380,Leytonstone High Road,539245,186921,n/a,London Overground,3,0.009121703,51.56347619
266,382,Stratford,538530,184395,n/a,TfL Rail,3,-0.002182514,51.54094802
267,383,Maryland,539190,184924,n/a,TfL Rail,3,0.007539167,51.54554249
268,384,Forest Gate,540470,185339,n/a,TfL Rail,3,0.02615387,51.54895648
269,396,Wimbledon (Tramlink),524838,170637,n/a,Tramlink,3,-0.204395752,51.42048966
270,397,Dundonald Road,524728,170256,n/a,Tramlink,3,-0.206116509,51.41708633
271,398,Merton Park,525179,169835,n/a,Tramlink,3,-0.199772348,51.41320626
272,435,BECKTON - DLR,543165,181514,n/a,DLR,3,0.063442568,51.51390419
273,436,BECKTON PARK - DLR,542705,180873,n/a,DLR,3,0.056557435,51.50826026
274,437,CUSTOM HOUSE - DLR,540731,180925,n/a,DLR,3,0.028149357,51.50922299
275,438,CYPRUS - DLR,543331,180860,n/a,DLR,3,0.065567428,51.50798477
276,439,GALLIONS REACH - DLR,543872,180929,n/a,DLR,3,0.073386821,51.50846722
277,440,KING GEORGE V - DLR,543237,180137,n/a,DLR,3,0.063920007,51.50151128
278,441,LONDON CITY AIRPORT - DLR,542250,180292,n/a,DLR,3,0.04977043,51.50315378
279,442,PONTOON DOCK - DLR,541219,180109,n/a,DLR,3,0.03485088,51.50176796
280,443,PRINCE REGENT - DLR,541264,180899,n/a,DLR,3,0.035815177,51.50885626
281,444,ROYAL ALBERT - DLR,542077,180815,n/a,DLR,3,0.047489859,51.50789742
282,445,ROYAL VICTORIA - DLR,540122,180852,n/a,DLR,3,0.019349595,51.50871834
283,446,WEST SILVERTOWN - DLR,540460,180156,n/a,DLR,3,0.023940282,51.50237959
284,452,CANNING TOWN - DLR,539443,181354,n/a,DLR,3,0.009772469,51.51339633
285,457,EAST INDIA - DLR,538732,180831,n/a,DLR,3,-0.000674542,51.50887121
286,459,GREENWICH - DLR,538052,177334,n/a,DLR,3,-0.011836627,51.47760944
287,467,PUDDING MILL LANE - DLR,537847,183568,n/a,DLR,3,-0.012349897,51.53368602
288,474,WEST HAM - DLR,539182,182943,n/a,DLR,3,0.006640951,51.52774122
289,475,STRATFORD - DLR,538571,184387,n/a,DLR,3,-0.001594174,51.54086921
290,476,STAR LANE - DLR,539145,182115,n/a,DLR,3,0.005780604,51.52030887
291,477,ABBEY ROAD - DLR,539077,183399,n/a,DLR,3,0.005308217,51.5318653
292,478,STRATFORD HIGH STREET - DLR,538752,184020,n/a,DLR,3,0.000869889,51.53752645
293,479,STRATFORD INTERNATIONAL - DLR,538128,184761,n/a,DLR,3,-0.007832275,51.54433906
294,350,South Acton,520148,179250,n/a,London Overground,3,-0.268894276,51.49891951
295,353,South Tottenham,533687,188621,n/a,London Overground,3,-0.070375895,51.58009969
296,354,Stonebridge Park,519687,184195,n/a,London Overground,3,-0.273853212,51.54346498
297,357,Walthamstow Queens Road,537018,188807,n/a,London Overground,3,-0.022254511,51.58097129
298,358,Wanstead Park,540570,185590,n/a,London Overground,3,0.027694662,51.55118604
299,370,Gunnersbury,519813,178341,n/a,London Overground,3,-0.274027392,51.49082016
300,379,Stratford,538521,184409,n/a,London Overground,3,-0.002307264,51.54107928
301,122,Hainault,545080,191498,Central,London Underground,4,0.095143844,51.60313737
302,123,Grange Hill,544967,192559,Central,London Underground,4,0.093957755,51.61269646
303,2,Colindale,521319,189962,Northern,London Underground,4,-0.248341905,51.59494713
304,3,Burnt Oak,520326,190760,Northern,London Underground,4,-0.262398845,51.60233699
305,5,Mill Hill East,524046,191450,Northern,London Underground,4,-0.208460194,51.60773582
306,7,Finchley Central,525278,190668,Northern,London Underground,4,-0.190951925,51.60043321
307,8,Sudbury Hill,515412,185542,Piccadilly,London Underground,4,-0.335039246,51.55646384
308,9,Sudbury Town,516875,184890,Piccadilly,London Underground,4,-0.314159662,51.55030341
309,13,Alperton,517996,183795,Piccadilly,London Underground,4,-0.298361133,51.54022715
310,22,Arnos Grove,529355,192498,Piccadilly,London Underground,4,-0.131434823,51.61595478
311,23,Southgate,529676,194265,Piccadilly,London Underground,4,-0.126150933,51.6317626
312,43,Perivale,516378,183315,Central,London Underground,4,-0.32183979,51.53624702
